country_id,country_name,country_block
79,Объединенные арабские эмираты (ОАЭ),Нет
80,Болгария,Европейский союз (ЕС)
81,Индонезия,Нет
82,Оман,Нет
83,Вьетнам,Нет
84,Хорватия,Европейский союз (ЕС)
85,Коста-Рика,Нет
86,Афганистан,Нет
87,Албания,Нет
88,Босния и Герцеговина,Нет
89,Танзания,Нет
90,Ливия,Нет
91,Иордания,Нет
92,Новая Зеландия,Нет
93,Пуэрто-Рико,Нет
94,Острова Того,Нет
95,Уругвай,Нет
96,Гибралтар,Нет
97,Кот-д'Ивуар,Нет
98,Перу,Нет
99,Гана,Нет
100,Алжир,Нет
101,Шри-Ланка,Нет
102,Гонконг,Нет
103,Бангладеш,Нет
104,Камбоджа,Нет
105,Сейшельские Острова,Нет
106,Кувейт,Нет
107,Мавритания,Нет
108,Исландия,Нет
109,Люксембург,Европейский союз (ЕС)
110,Ливан,Нет
111,Барбадос,Нет
112,Мьянма,Нет
113,Центральноафриканская Республика (ЦАР),Нет
114,Фарерские острова,Нет
115,Панама,Нет
116,Доминиканская Республика,Нет
117,Лихтенштейн,Нет
118,Ямайка,Нет
119,Непал,Нет
120,Ангола,Нет
121,Сомали,Нет
122,Тринидад и Тобаго,Нет
123,Судан,Нет
124,Палестина,Нет
125,Катар,Нет
126,Иран,Нет
127,Венесуэла,Нет
128,Сирия,Нет
129,Куба,Нет
130,Маврикий,Нет
131,Македония,Нет
132,Уганда,Нет
133,Нигерия,Нет
134,Чад,Нет
135,Руанда,Нет
136,Боливия,Нет
137,Демократическая Республика Конго,Нет
138,Монтенегро,Нет
139,Южная Осетия,Нет
140,Бахрейн,Нет
141,Либерия,Нет
142,Кюрасао,Нет
143,Суринам,Нет
144,Мозамбик,Нет
145,Гайана,Нет
146,Бенин,Нет
147,Малави,Нет
148,Монако,Нет
149,Джибути,Нет
150,Ботсвана,Нет
151,Габон,Нет
152,Экваториальная Гвинея,Нет
153,Йемен,Нет
154,Конго,Нет
155,Гаити,Нет
156,Лаос,Нет
157,Никарагуа,Нет
158,Макао,Нет
159,Южный Судан,Нет
160,Маршалловы острова,Нет
161,Багамские острова,Нет
162,Сент-Китс и Невис,Нет
163,Мали,Нет
164,Бруней,Нет
165,Камерун,Нет
166,Буркина-Фасо,Нет
167,Эфиопия,Нет
168,Эсватини,Нет
169,Сьерра-Леоне,Нет
170,Сан-Марино,Нет
171,Нигер,Нет
172,Мадагаскар,Нет
173,Зимбабве,Нет
174,Сент-Люсия,Нет
175,Антигуа и Барбуда,Нет
176,Эритрея,Нет
177,Бурунди,Нет
178,Андорра,Нет
179,Замбия,Нет
180,Гамбия,Нет
181,Синт-Мартен,Нет
182,Кайманова острова,Нет
183,"Виргинские острова, США",Нет
184,Британская Территория в Индийском Океане,Нет
185,Гренладия,Нет
186,Доминика,Нет
187,Мальдивы,Нет
188,Французские Южные и Антарктические Территории,Нет
189,Восточный Тимор,Нет
190,Корейская Народно-Демократическая Республика (КНДР),Нет
191,Папуа - Новая Гвинея,Нет
192,Кабо-Верде,Нет
193,Шпицберген и Ян-Майен,Нет
194,Джерси,Нет
195,Фолклендские острова,Нет
196,Мартиника,Нет
197,Токелау,Нет
198,Лесото,Нет
199,Бермудские Острова,Нет
200,Кокосовые острова,Нет
201,Бутан,Нет
202,Сен-Пьер и Микелон,Нет
203,Гернси,Нет
204,Острова Питкэрн,Нет
205,"Острова Святой Елены, Вознесения и Тристан-да-Кунья",Нет
206,Фиджи,Нет
207,Белиз,Нет
208,Французская Полинезия,Нет
209,Остров Буве,Нет
210,Самоа,Нет
211,Соломоновы Острова,Нет
212,Сан-Томе и Принсипи,Нет
213,"Виргинские острова, Великобритания",Нет
214,Сен-Мартен,Нет
215,Науру,Нет
216,Гвинея-Бисау,Нет
217,Новая Каледония,Нет
218,Реунион,Нет
219,Антарктика,Нет
220,Внешние малые острова (США),Нет
221,Аландские острова,Нет
222,Гваделупа,Нет
223,Тувалу,Нет
224,Остров Мэн,Нет
225,Аруба,Нет
226,Монтсеррат,Нет
227,Южная Георгия и Южные Сандвичевы острова,Нет
228,Острова Теркс и Кайкос,Нет
229,Гуам,Нет
230,Гренада,Нет
231,Остров Рождества,Нет
232,Сент-Винсент и Гренадины,Нет
233,Северные Марианские Острова,Нет
234,Самоа,Нет
235,Коморы,Нет
236,Тонга,Нет
237,Кирибати,Нет
238,Уоллис и Футуна,Нет
239,Ниуэ,Нет
240,Восточная Сахара,Нет
241,Острова Кука,Нет
242,Микронезия,Нет
243,Ватикан,Нет
244,Вануату,Нет
