Код,Наименование (англ.),Наименование,Страна,Направление
8430 49 00,"Boring or sinking machinery for boring earth or extracting minerals or ores, not
                                    self-propelled and not hydraulic (excl. tunnelling machinery and hand-operated
                                    tools)
                                ","Машины буровые или проходческие для бурения земли или добычи полезных ископаемых или
                                    руд, несамоходные и негидравлические (кроме проходческих машин и ручных
                                    инструментов)
                                ",EU,Экспорт в РФ
8431 39 00,"Parts of machinery of heading 8428, n.e.s.","Части машин товарной позиции 8428, не включенные в другие категории",EU,Экспорт в РФ
8431 43 00,"parts for boring or sinking machinery of subheading 8430 41 or 8430 49, n.e.s.","части бурового или проходческого оборудования подсубпозиции 8430 41 или 8430 49, не
                                    включенные в другие категории",EU,Экспорт в РФ
8431 49,"Parts of machinery of heading 8426, 8429 and 8430, n.e.s.","Части машин товарных позиций 8426, 8429 и 8430, не включенные в другие категории
                                ",EU,Экспорт в РФ
8705 20 00,Mobile drilling derricks,Мобильные буровые вышки,EU,Экспорт в РФ
8905 20 00,Floating or submersible drilling or production platforms,Плавучие или погружные буровые или эксплуатационные платформы,EU,Экспорт в РФ
8905 90 10,"Sea-going light vessels, fire-floats, floating cranes and other vessels, the
                                    navigability of which is subsidiary to their main function (excl. dredgers, floating
                                    or
                                    submersible drilling or production platforms; fishing vessels and warships) ","Плавучие маяки, пожарные буи, плавучие краны и другие суда, навигационные качества
                                    которых второстепенны по отношению к их основному назначению (кроме земснарядов,
                                    плавучих или подводных буровых или добычных платформ, рыболовных судов и военных
                                    кораблей)",EU,Экспорт в РФ
8414 10 81,Cryogenic pumps in the LNG-process, ,EU,Экспорт в РФ
8418 69 00,Process units for gas cooling in the LNG-process, ,EU,Экспорт в РФ
8419 40 00,Atmospheric-vacuum crude distillation units (CDU), ,EU,Экспорт в РФ
8419 40 00,"Process units for the separation and fractionation of the hydrocarbons in the
                                    LNG-process
                                ", ,EU,Экспорт в РФ
"8419 50 20, 8419 50 80",Cold boxes in the LNG-process, ,EU,Экспорт в РФ
"8419 50 20, 8419 50 80",Cryogenic exchangers in the LNG-process, ,EU,Экспорт в РФ
8419 60 00,Process units for the liquefaction of the natural gas, ,EU,Экспорт в РФ
"8419 60 00, 8419 89 98,",Hydrogen recovery and purification technology, ,EU,Экспорт в РФ
"8421 39 15, 8421 39 25,",Hydrogen recovery and purification technology, ,EU,Экспорт в РФ
"8421 39 35, 8421 39 85",Hydrogen recovery and purification technology, ,EU,Экспорт в РФ
"8419 60 00, 8419 89 98,","Refinery fuel gas treatment and sulphur recovery technology (including amine
                                    scrubbing units, sulphur recovery units, tail gas treatment units)
                                ", ,EU,Экспорт в РФ
"8421 39 35, 8421 39 85","Refinery fuel gas treatment and sulphur recovery technology (including amine
                                    scrubbing units, sulphur recovery units, tail gas treatment units)
                                ", ,EU,Экспорт в РФ
8419 89 10,"Cooling towers and similar plant for direct cooling (without a separating wall)
                                    by
                                    means of recirculated water, designed to be used with the technology listed in this
                                    Annex.
                                ", ,EU,Экспорт в РФ
8419 89 98,Alkylation and isomerization units, ,EU,Экспорт в РФ
8419 89 98,Aromatic hydrocarbon production units, ,EU,Экспорт в РФ
8419 89 98,Catalytic reforming / cracker units, ,EU,Экспорт в РФ
8419 89 98,Delayed cokers, ,EU,Экспорт в РФ
8419 89 98,Flexicoking units, ,EU,Экспорт в РФ
8419 89 98,Hydrocracking reactors, ,EU,Экспорт в РФ
8419 89 98,Hydrocracking reactor vessels, ,EU,Экспорт в РФ
8419 89 98,Hydrogen generation technology, ,EU,Экспорт в РФ
8419 89 98,Hydrotreatment technology/units, ,EU,Экспорт в РФ
8419 89 98,Naphtha isomerisation units, ,EU,Экспорт в РФ
8419 89 98,Polymerisation units, ,EU,Экспорт в РФ
8419 89 98,Sulphur production units, ,EU,Экспорт в РФ
8419 89 98,Sulphuric acid alkylation and sulphuric acid regeneration units, ,EU,Экспорт в РФ
8419 89 98,Thermal cracking units, ,EU,Экспорт в РФ
8419 89 98,[Toluene and heavy aromatics] Transalkylation units, ,EU,Экспорт в РФ
8419 89 98,Visbreakers, ,EU,Экспорт в РФ
8419 89 98,Vacuum gas oil hydrocracking units, ,EU,Экспорт в РФ
8479 89 97,Solvent de-asphalting units’, ,EU,Экспорт в РФ
9006 30 00,Underwater vision systems…,Системы подводного зрения…,EU,Экспорт в РФ
9006 30 00,"Photographic still cameras “specially designed” or modified for underwater use,
                                    having a
                                    film format of 35 mm or larger, and having autofocusing or remote focusing
                                    “specially
                                    designed” for underwater use","Фотокамеры, «специально разработанные» или модифицированные для использования под
                                    водой,
                                    имеющие формат пленки 35 мм или более и имеющие автофокусировку или дистанционную
                                    фокусировку, «специально разработанные» для использования под водой",EU,Экспорт в РФ
9029 20 90,"Stroboscopic light systems, “specially designed” or modified for underwater use,
                                    capable
                                    of a light output energy of more than 300 J per flash","Стробоскопические световые системы, «специально разработанные» или модифицированные
                                    для
                                    использования под водой, способные обеспечить выходную энергию света более 300 Дж на
                                    вспышку.",EU,Экспорт в РФ
9006 30 00,Other underwater camera equipment…,Другое оборудование для подводной камеры…,EU,Экспорт в РФ
,Vessels ,Суда,EU,Экспорт в РФ
8901 10 90,Vessels,Суда,EU,Экспорт в РФ
8901 20 10,Vessels,Суда,EU,Экспорт в РФ
8901 20 90,Vessels,Суда,EU,Экспорт в РФ
8901 30 10,Vessels,Суда,EU,Экспорт в РФ
8901 30 90,Vessels,Суда,EU,Экспорт в РФ
8901 90 10,Vessels,Суда,EU,Экспорт в РФ
8901 90 90,Vessels,Суда,EU,Экспорт в РФ
8902 00 10,Vessels,Суда,EU,Экспорт в РФ
8902 00 90,Vessels,Суда,EU,Экспорт в РФ
8903 21 00,Vessels,Суда,EU,Экспорт в РФ
8903 22 10,Vessels,Суда,EU,Экспорт в РФ
8903 22 90,Vessels,Суда,EU,Экспорт в РФ
8903 23 10,Vessels,Суда,EU,Экспорт в РФ
8903 23 90,Vessels,Суда,EU,Экспорт в РФ
8903 31 00,Vessels,Суда,EU,Экспорт в РФ
8903 32 10,Vessels,Суда,EU,Экспорт в РФ
8903 32 90,Vessels,Суда,EU,Экспорт в РФ
8903 33 10,Vessels,Суда,EU,Экспорт в РФ
8903 33 90,Vessels,Суда,EU,Экспорт в РФ
8903 93 10,Vessels,Суда,EU,Экспорт в РФ
8903 93 90,Vessels,Суда,EU,Экспорт в РФ
8903 99 10,Vessels,Суда,EU,Экспорт в РФ
8903 99 90,Vessels,Суда,EU,Экспорт в РФ
8904 00 10,Vessels,Суда,EU,Экспорт в РФ
8904 00 91,Vessels,Суда,EU,Экспорт в РФ
8904 00 99,Vessels,Суда,EU,Экспорт в РФ
8905 10 10,Vessels,Суда,EU,Экспорт в РФ
8905 10 90,Vessels,Суда,EU,Экспорт в РФ
8905 90 10,Vessels,Суда,EU,Экспорт в РФ
8905 90 90,Vessels,Суда,EU,Экспорт в РФ
8906 10 00,Vessels,Суда,EU,Экспорт в РФ
8906 90 10,Vessels,Суда,EU,Экспорт в РФ
8906 90 91,Vessels,Суда,EU,Экспорт в РФ
8906 90 99,Vessels,Суда,EU,Экспорт в РФ
8908 00 00,Vessels,Суда,EU,Экспорт в РФ
,Marine engines (both inboard and outboard) and submarine engines,"Судовые двигатели (как внутренние, так и подвесные) и подводные двигатели",EU,Экспорт в РФ
8406 10 00,Marine engines,Судовые двигатели,EU,Экспорт в РФ
8407 21 10,Marine engines,Судовые двигатели,EU,Экспорт в РФ
8407 21 91,Marine engines,Судовые двигатели,EU,Экспорт в РФ
8407 21 99,Marine engines,Судовые двигатели,EU,Экспорт в РФ
8407 29 00,Marine engines,Судовые двигатели,EU,Экспорт в РФ
8408 10 11,Marine engines,Судовые двигатели,EU,Экспорт в РФ
8408 10 19,Marine engines,Судовые двигатели,EU,Экспорт в РФ
8408 10 23,Marine engines,Судовые двигатели,EU,Экспорт в РФ
8408 10 27,Marine engines,Судовые двигатели,EU,Экспорт в РФ
8408 10 31,Marine engines,Судовые двигатели,EU,Экспорт в РФ
8408 10 39,Marine engines,Судовые двигатели,EU,Экспорт в РФ
8408 10 41,Marine engines,Судовые двигатели,EU,Экспорт в РФ
8408 10 49,Marine engines,Судовые двигатели,EU,Экспорт в РФ
8408 10 51,Marine engines,Судовые двигатели,EU,Экспорт в РФ
8408 10 59,Marine engines,Судовые двигатели,EU,Экспорт в РФ
8408 10 61,Marine engines,Судовые двигатели,EU,Экспорт в РФ
8408 10 69,Marine engines,Судовые двигатели,EU,Экспорт в РФ
8408 10 71,Marine engines,Судовые двигатели,EU,Экспорт в РФ
8408 10 79,Marine engines,Судовые двигатели,EU,Экспорт в РФ
8408 10 81,Marine engines,Судовые двигатели,EU,Экспорт в РФ
8408 10 89,Marine engines,Судовые двигатели,EU,Экспорт в РФ
8408 10 91,Marine engines,Судовые двигатели,EU,Экспорт в РФ
8408 10 99,Marine engines,Судовые двигатели,EU,Экспорт в РФ
9506 29 00,"Self-contained underwater breathing apparatus (scuba gear) and related equipment
                                ","Автономный подводный дыхательный аппарат (акваланг) и сопутствующее оборудование
                                ",EU,Экспорт в РФ
9506 29 00,"Life jackets, inflation cartridges, dive compasses and dive computers","Спасательные жилеты, картриджи для накачки, компасы для дайвинга и компьютеры для
                                    дайвинга",EU,Экспорт в РФ
9405 42 10,Underwater lights and propulsion equipment,Подводные фонари и силовое оборудование,EU,Экспорт в РФ
8906 90 10,Underwater lights and propulsion equipment,Подводные фонари и силовое оборудование,EU,Экспорт в РФ
8414 40 10,"Air compressors and filtration systems “specially designed” for filling air
                                    cylinders.
                                ","Воздушные компрессоры и системы фильтрации, «специально разработанные» для
                                    наполнения
                                    воздушных баллонов.",EU,Экспорт в РФ
8408 20 37,"Diesel engines, other than those specified in the CML or in Regulation (EU)
                                    2021/821,
                                    for trucks, tractors, and automotive applications, having an overall power output of
                                    298kW or more.","Дизельные двигатели, отличные от указанных в CML или в Регламенте (ЕС) 2021/821, для
                                    грузовых автомобилей, тракторов и автомобилей с общей выходной мощностью 298 кВт или
                                    более.",EU,Экспорт в РФ
8408 20 99,"Diesel engines, other than those specified in the CML or in Regulation (EU)
                                    2021/821,
                                    for trucks, tractors, and automotive applications, having an overall power output of
                                    298kW or more.","Дизельные двигатели, отличные от указанных в CML или в Регламенте (ЕС) 2021/821, для
                                    грузовых автомобилей, тракторов и автомобилей с общей выходной мощностью 298 кВт или
                                    более.",EU,Экспорт в РФ
,(1) Horses,(1) Лошади,EU,Экспорт в РФ
0101 21 00,Pure-bred breeding animals,Чистопородные племенные животные,EU,Экспорт в РФ
0101 29 90,Other,Прочие,EU,Экспорт в РФ
,(2) Caviar and caviar substitutes,(2) Икра и заменители икры,EU,Экспорт в РФ
1604 31 00,Caviar,Икра,EU,Экспорт в РФ
1604 32 00,Caviar substitutes,Заменители икры,EU,Экспорт в РФ
,(3) Truffles and preparations thereof,(3) Трюфели и продукты из них,EU,Экспорт в РФ
0709 56 00,Truffles,Трюфели,EU,Экспорт в РФ
0710 80 69,Other,Прочее,EU,Экспорт в РФ
0711 59 00,Other,Прочее,EU,Экспорт в РФ
0712 39 00,Other,Прочее,EU,Экспорт в РФ
2001 90 97,Other,Прочее,EU,Экспорт в РФ
2003 90 10,Truffles,Трюфели,EU,Экспорт в РФ
2103 90 90,Other,Прочее,EU,Экспорт в РФ
2104 10 00,Soups and broths and preparations therefor,Супы и бульоны и приготовления к ним,EU,Экспорт в РФ
2104 20 00,Homogenised composite food preparations,Гомогенизированные составные пищевые продукты,EU,Экспорт в РФ
2106 00 00,Food preparations not elsewhere specified or included,"Готовые пищевые продукты, в другом месте не поименованные или не включенные",EU,Экспорт в РФ
,"(4) Wines (including sparkling wines), beers, spirits and spirituous beverages","(4) Вина (включая игристые), пиво, спиртные напитки и спиртные напитки",EU,Экспорт в РФ
2203 00 00,Beer made from malt,Пиво солодовое,EU,Экспорт в РФ
2204 10 11,Champagne,Шампанское,EU,Экспорт в РФ
2204 10 91,Asti spumante,Шампанское Асти,EU,Экспорт в РФ
2204 10 93,Other,Прочее,EU,Экспорт в РФ
2204 10 94,With a protected geographical indication (PGI),С защищенным географическим указанием (ЗГУ),EU,Экспорт в РФ
2204 10 96,Other varietal wines,Прочие сортовые вина,EU,Экспорт в РФ
2204 10 98,Other,Прочее,EU,Экспорт в РФ
2204 21 00,In containers holding 2 litres or less,В контейнерах вместимостью 2 литра или менее,EU,Экспорт в РФ
2204 29 00,Other,Прочее,EU,Экспорт в РФ
2205 00 00,"Vermouth and other wine of fresh grapes flavoured with plants or aromatic substances
                                ","Вермут и прочие вина из свежего винограда, ароматизированные растениями или
                                    ароматическими веществами",EU,Экспорт в РФ
2206 00 00,"Other fermented beverages (for example, cider, perry, mead, saké); mixtures of
                                    fermented
                                    beverages and mixtures of fermented beverages with non-alcoholic beverages, not
                                    elsewhere specified or included","Прочие ферментированные напитки (например, сидр, перри, медовуха, саке); смеси
                                    сброженных напитков и смеси сброженных напитков с безалкогольными напитками, в
                                    другом
                                    месте не поименованные или не включенные",EU,Экспорт в РФ
2207 10 00,"Undenatured ethyl alcohol of an alcoholic strength by volume of 80 % vol or higher
                                ",Спирт этиловый неденатурированный с концентрацией спирта 80 об.% или выше,EU,Экспорт в РФ
2208 00 00,"Undenatured ethyl alcohol of an alcoholic strength by volume of less than 80 % vol;
                                    spirits, liqueurs and other spirituous beverages","Спирт этиловый неденатурированный с концентрацией спирта менее 80 об.%; спиртные
                                    напитки, ликеры и другие спиртные напитки",EU,Экспорт в РФ
,(5) Cigars and cigarillos,(5) Сигары и сигариллы,EU,Экспорт в РФ
2402 10 00,"Cigars, cheroots and cigarillos, containing tobacco","Сигары и сигариллы, содержащие табак",EU,Экспорт в РФ
2402 90 00,Other,Прочие,EU,Экспорт в РФ
,"(6) Perfumes, toilet waters and cosmetics, including beauty and make-up products
                                ","(6) Парфюмерия, туалетная вода и косметика, в том числе косметические средства и
                                    средства для макияжа",EU,Экспорт в РФ
3303,Perfumes and toilet waters,Духи и туалетная вода,EU,Экспорт в РФ
3304 00 00,"Beauty or make-up preparations and preparations for the care of the skin (other than
                                    medicaments), including sunscreen or suntan preparations; manicure or pedicure
                                    preparations","Косметические средства или средства для макияжа и средства по уходу за кожей (кроме
                                    лекарственных), включая солнцезащитные средства или средства для загара; подготовка
                                    к
                                    маникюру или педикюру",EU,Экспорт в РФ
3305 00 00,Preparations for use on the hair,Препараты для использования на волосах,EU,Экспорт в РФ
3307 00 00,"Pre-shave, shaving or aftershave preparations, personal deodorants, bath
                                    preparations,
                                    depilatories and other perfumery, cosmetic or toilet preparations, not elsewhere
                                    specified or included; prepared room deodorisers, whether or not perfumed or having
                                    disinfectant properties","Средства до бритья, средства для бритья или после бритья, дезодоранты для тела,
                                    средства
                                    для ванн, средства для удаления волос и прочие парфюмерные, косметические или
                                    туалетные
                                    средства, в другом месте не поименованные или не включенные; комнатные дезодоранты,
                                    ароматизированные или неароматизированные, или обладающие дезинфицирующими
                                    свойствами
                                ",EU,Экспорт в РФ
6704 00 00,"Wigs, false beards, eyebrows and eyelashes, switches and the like, of human or
                                    animal
                                    hair or of textile materials; articles of human hair not elsewhere specified or
                                    included
                                ","Парики, накладные бороды, брови и ресницы, хлысты и аналогичные изделия из
                                    человеческого
                                    или животного волоса или из текстильных материалов; изделия из человеческого волоса,
                                    в
                                    другом месте не поименованные или не включенные",EU,Экспорт в РФ
,"(7) Leather, saddlery and travel goods, handbags and similar articles","(7) Кожаные, шорно-седельные и дорожные принадлежности, дамские сумки и аналогичные
                                    изделия",EU,Экспорт в РФ
4201 00 00,"Saddlery and harness for any animal (including traces, leads, knee pads, muzzles,
                                    saddle-cloths, saddlebags, dog coats and the like), of any material","Шорно-седельные изделия и упряжь для любых животных (в том числе поводки,
                                    наколенники,
                                    намордники, чепраки, переноски , собачьи шубы и т.п.) из любых материалов",EU,Экспорт в РФ
4202 00 00,"Trunks, suitcases, vanity cases, executive-cases, briefcases, school satchels,
                                    spectacle
                                    cases, binocular cases, camera cases, musical instrument cases, gun cases, holsters
                                    and
                                    similar containers; travelling-bags, insulated food or beverages bags, toilet bags,
                                    rucksacks, handbags, shopping-bags, wallets, purses, map-cases, cigarette-cases,
                                    tobacco-pouches, tool bags, sports bags, bottle-cases, jewellery boxes, powder
                                    boxes,
                                    cutlery cases and similar containers, of leather or of composition leather, of
                                    sheeting
                                    of plastics, of textile materials, of vulcanised fibre or of paperboard, or wholly
                                    or
                                    mainly covered with such materials or with paper","Чемоданы, косметички, портфели, школьные ранцы, футляры для очков, футляры для
                                    биноклей,
                                    футляры для фотоаппаратов, футляры для музыкальных инструментов, футляры для оружия,
                                    кобура и аналогичные контейнеры; дорожные сумки, сумки для еды и напитков, туалетные
                                    сумки, рюкзаки, дамские сумки, сумки для покупок, кошельки, портмоне, карты,
                                    портсигары,
                                    кисеты, сумки для инструментов, спортивные сумки, флягодержатели, шкатулки,
                                    пудреницы,
                                    футляры для столовых приборов и аналогичные емкости из натуральной или
                                    композиционной
                                    кожи, из листового пластика, из текстильных материалов, из вулканизированного
                                    волокна
                                    или картона или полностью или в основном покрытые такими материалами или бумагой
                                ",EU,Экспорт в РФ
4205 00 90,Other,Другой,EU,Экспорт в РФ
9605 00 00,"Travel sets for personal toilet, sewing or shoe or clothes cleaning","Дорожные наборы для личного туалета, шитья или чистки обуви или одежды",EU,Экспорт в РФ
,"(8) Coats, or other garments, clothing accessories and shoes (regardless of their
                                    material)","(8) Пальто или другая одежда, аксессуары к одежде и обувь (независимо от их
                                    материала)
                                ",EU,Экспорт в РФ
4203 00 00,"Articles of apparel and clothing accessories, of leather or of composition leather
                                ","Предметы одежды и принадлежности к одежде из натуральной или композиционной кожи
                                ",EU,Экспорт в РФ
4303 00 00,"Articles of apparel, clothing accessories and other articles of furskin","Предметы одежды, аксессуары к одежде и прочие изделия из натурального меха",EU,Экспорт в РФ
6101 00 00,"Men's or boys' overcoats, car coats, capes, cloaks, anoraks (including ski jackets),
                                    windcheaters, wind-jackets and similar articles, knitted or crocheted, other than
                                    those
                                    of heading 6103","Пальто, полупальто, накидки, плащи, куртки (включая лыжные куртки), ветровки,
                                    ветровки и
                                    аналогичные изделия трикотажные, мужские или для мальчиков, кроме изделий товарной
                                    позиции 6103",EU,Экспорт в РФ
6102 00 00,"Women's or girls' overcoats, car coats, capes, cloaks, anoraks (including ski
                                    jackets),
                                    windcheaters, wind-jackets and similar articles, knitted or crocheted, other than
                                    those
                                    of heading 6104","Женские пальто или пальто для девочек, полупальто, накидки, плащи, анораки (включая
                                    лыжные куртки), ветровки, ветровки и аналогичные изделия трикотажные или ручного
                                    вязания, кроме изделий товарной позиции 6104",EU,Экспорт в РФ
